STATION,NAME,DATE,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,WDF2,WDF5,WESD,WESF,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11,WT13,WT14,WT16,WT17,WT18,WT19,WT21,WT22
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-04-11,19.01,1141,1140,0,0,0,,80,48,,250,240,,,42.9,66,,,,,,,,,,,,1,,,,,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-04-12,13.42,2357,9,0,0,0,,51,41,,280,300,,,23,28,,,,,,,,,,,,1,,,,,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-04-13,7.61,1026,1025,0.9,0,0,,48,40,,100,100,,,14.1,16.1,1,,,,,,,,,1,1,1,,,,,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-04-14,9.17,2302,2116,0,0,0,,53,36,,50,80,,,17.9,23.9,1,,,,,,,,,1,,,,,,,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-04-15,13.2,1426,645,0,0,0,,44,32,,50,50,,,21,25.9,,,,,,,1,,,,,,,,,,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-04-16,14.09,1231,1227,0.52,0,0,,51,38,,140,140,,,30,40.9,1,,,,,,,,,1,,1,,,,,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-04-17,20.58,1409,417,0.04,0,0,,49,34,,250,250,,,38.9,51,1,,,1,,,,,,1,,1,,1,,,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-04-18,6.71,133,157,0.08,0,0,,38,32,,260,250,,,21,25.9,1,,,,,,,,,1,,,,1,,,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-04-19,7.61,2340,2326,0.11,0,0,,41,31,,100,80,,,17.9,23,1,,,,,,,,,1,,1,,,,,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-04-20,16.33,1634,1632,1.41,0,0,,63,39,,240,240,,,40,55,1,,1,,,,,,,1,,1,,,,,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-04-21,12.3,1159,1004,0,0,0,,44,31,,300,290,,,25.1,33.1,1,,,,,,,,,,1,,,1,,,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-04-22,9.17,1728,1726,0.06,0,0,,51,30,,180,190,,,21,28,1,,,,,,,,,1,,1,,,,,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-04-23,13.87,952,959,0.6,0,0,,70,41,,210,210,,,30,36.9,1,,,,,,,,,1,,1,,,,,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-04-24,2.01,201,200,0,0,0,,51,42,,340,340,,,13,16.1,,,,,,,,,,,,1,,,,,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-04-25,4.7,1400,1356,0.88,0,0,,58,42,,40,30,,,14.1,16.1,1,,,,,,,,,1,,1,,,,,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-04-26,6.26,1557,1633,0.25,0,0,,70,44,,310,320,,,17.9,21.9,1,1,1,,,,,,,,1,,,,,,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-04-27,8.72,1738,1738,0.4,0,0,,81,55,,270,270,,,38.9,47,1,1,1,,,,1,,1,,,,,,,,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-04-28,20.8,1000,1000,0,0,0,,71,48,,230,230,,,51,62,,,,,,,,,,,,1,,,,,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-04-29,13.2,947,946,0,0,0,,50,43,,240,230,,,25.9,31.1,,,,,,,,,,,,1,,,,,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-04-30,5.59,1901,1032,0,0,0,,60,37,,90,340,,,13,17,,,,,,,,,,,,1,,,,,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-05-01,9.62,1617,1510,0,0,0,,67,49,,210,210,,,23,31.1,,,,,,,,,,,,1,,,,,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-05-02,7.83,1144,1143,0.1,0,0,,63,48,,230,230,,,19.9,25.1,1,,,,,,,,,1,1,1,,,,,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-05-03,8.05,1845,2050,0.73,0,0,,48,41,,10,360,,,17.9,23,1,,,,,,,,,1,1,1,,,,,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-05-04,8.72,1342,1343,0,0,0,,49,39,,340,330,,,17.9,21.9,1,,,,,,,,,,1,1,,,,,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-05-05,10.96,1419,1332,0,0,0,,59,41,,290,330,,,23,30,,,,,,,,,,,,1,,,,,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-05-06,9.84,1814,1813,0,0,0,,66,40,,260,260,,,25.1,33.1,,,,,,,,,,,,,,,,,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-05-07,6.71,1044,1054,0,0,0,,62,46,,270,270,,,16.1,19.9,,,,,,,,,,,,1,,,,,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-05-08,7.38,1738,1235,0,0,0,,60,44,,30,20,,,15,17.9,,,,,,,,,,,,,,,,,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-05-09,5.14,1322,1257,0,0,0,,62,41,,10,30,,,16.1,23,,,,,,,,,,,,,,,,,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-05-10,6.04,1136,1056,0,0,0,,62,40,,50,70,,,16.1,23.9,,,,,,,,,,,,,,,,,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-05-11,6.71,1410,1409,0,0,0,,68,42,,20,10,,,17.9,21.9,,,,,,,,,,,,,,,,,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-05-12,3.58,1345,1728,0,0,0,,79,48,,130,340,,,12.1,19.9,,,,,,,,,,,,,,,,,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-05-13,5.82,1807,1812,0.61,0,0,,81,58,,200,210,,,23,29.1,1,,1,,,,,,,1,,1,,,,,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-05-14,5.82,2028,2015,0.09,0,0,,68,50,,20,30,,,17,21,1,,,,,,,,,1,,1,,,,,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-05-15,19.01,1755,2047,1.07,0,0,,51,43,,40,50,,,32,38.9,1,,,,,,,,,1,1,1,,,,,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-05-16,12.75,31,30,0.15,0,0,,47,42,,40,40,,,25.1,30,1,,,,,,,,,1,1,1,,,,,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-05-17,10.29,1617,1617,0.08,0,0,,50,42,,60,60,,,21,30,1,1,,,,,,,,,1,1,,,,,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-05-18,8.5,1523,1522,0.05,0,0,,73,49,,110,120,,,19.9,23.9,1,1,,,,,,,,1,,1,,,,,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-05-19,3.58,1450,1504,0.09,0,0,,69,54,,10,10,,,17,19.9,1,,,,,,,,,1,,1,,,,1,
